,article_title,country,article_quality,revision_id,Population,region
0,Majah Ha Adrif,Afghanistan,Start,1233202991.0,42.4,SOUTH ASIA
1,Haroon al-Afghani,Afghanistan,B,1230459615.0,42.4,SOUTH ASIA
2,Tayyab Agha,Afghanistan,Start,1225661708.0,42.4,SOUTH ASIA
3,Khadija Zahra Ahmadi,Afghanistan,Stub,1234741562.0,42.4,SOUTH ASIA
4,Aziza Ahmadyar,Afghanistan,Start,1195651393.0,42.4,SOUTH ASIA
5,Muqadasa Ahmadzai,Afghanistan,Start,1235521766.0,42.4,SOUTH ASIA
6,Mohammad Sarwar Ahmedzai,Afghanistan,Start,1176429234.0,42.4,SOUTH ASIA
7,Amir Muhammad Akhundzada,Afghanistan,Start,1247931713.0,42.4,SOUTH ASIA
8,Nasrullah Baryalai Arsalai,Afghanistan,Start,1225385278.0,42.4,SOUTH ASIA
9,Abdul Rahim Ayoubi,Afghanistan,Start,1226326055.0,42.4,SOUTH ASIA
10,Ismael Balkhi,Afghanistan,Start,1244521219.0,42.4,SOUTH ASIA
11,Abdul Baqi Turkistani,Afghanistan,Stub,1231655023.0,42.4,SOUTH ASIA
12,Mohammad Ghous Bashiri,Afghanistan,Start,1237694188.0,42.4,SOUTH ASIA
13,Jan Baz,Afghanistan,Stub,1227635806.0,42.4,SOUTH ASIA
14,Bashir Ahmad Bezan,Afghanistan,Start,1248505877.0,42.4,SOUTH ASIA
15,Rafiullah Bidar,Afghanistan,Stub,1197443408.0,42.4,SOUTH ASIA
16,Mohammad Siddiq Chakari,Afghanistan,Stub,1134129082.0,42.4,SOUTH ASIA
17,Cheragh Ali Cheragh,Afghanistan,Start,1193992206.0,42.4,SOUTH ASIA
18,Nasir Ahmad Durrani,Afghanistan,Stub,988838315.0,42.4,SOUTH ASIA
19,Muhammad Hashim Esmatullahi,Afghanistan,Stub,949986748.0,42.4,SOUTH ASIA
20,Ezatullah (Nangarhar),Afghanistan,Stub,1158302291.0,42.4,SOUTH ASIA
21,Aimal Faizi,Afghanistan,Stub,1185105938.0,42.4,SOUTH ASIA
22,Gajinder Singh Safri,Afghanistan,Stub,1212323536.0,42.4,SOUTH ASIA
23,Sharif Ghalib,Afghanistan,Start,1245967190.0,42.4,SOUTH ASIA
24,Hashmat Ghani Ahmadzai,Afghanistan,C,1207743719.0,42.4,SOUTH ASIA
25,Abdul Ghani Ghani,Afghanistan,Stub,1227026187.0,42.4,SOUTH ASIA
26,Ghulam Ghaus,Afghanistan,Stub,1158659195.0,42.4,SOUTH ASIA
27,Ghulam Muhammad Ghobar,Afghanistan,Stub,1240993642.0,42.4,SOUTH ASIA
